date,all_connections,total_connections_all_GDP
01jan2000,17,38.452
01feb2000,17,38.452
01mar2000,17,38.452
01apr2000,17,38.452
01may2000,17,38.452
01jun2000,17,38.452
01jul2000,17,38.452
01aug2000,17,38.452
01sep2000,17,38.452
01oct2000,17,38.452
01nov2000,51,38.624001
01dec2000,51,38.624001
01jan2001,51,38.181999
01feb2001,51,38.181999
01mar2001,51,38.181999
01apr2001,51,38.181999
01may2001,51,38.181999
01jun2001,51,38.181999
01jul2001,52,38.181999
01aug2001,53,38.181999
01sep2001,55,41.352001
01oct2001,55,41.352001
01nov2001,53,38.181999
01dec2001,54,45.827999
01jan2002,54,46.015999
01feb2002,54,46.015999
01mar2002,55,46.015999
01apr2002,55,46.015999
01may2002,55,46.015999
01jun2002,58,46.015999
01jul2002,58,46.015999
01aug2002,59,46.015999
01sep2002,59,46.015999
01oct2002,60,46.015999
01nov2002,60,46.015999
01dec2002,60,46.015999
01jan2003,60,46.042
01feb2003,61,46.042
01mar2003,61,46.042
01apr2003,61,46.042
01may2003,61,46.042
01jun2003,61,46.042
01jul2003,61,46.042
01aug2003,62,46.042
01sep2003,62,46.042
01oct2003,62,46.042
01nov2003,63,46.042
01dec2003,65,46.042
01jan2004,65,45.98
01feb2004,65,45.98
01mar2004,65,45.98
01apr2004,65,45.98
01may2004,65,45.98
01jun2004,65,45.98
01jul2004,65,45.98
01aug2004,65,45.98
01sep2004,65,45.98
01oct2004,65,45.98
01nov2004,65,45.98
01dec2004,65,45.98
01jan2005,64,46.107998
01feb2005,64,46.107998
01mar2005,64,46.107998
01apr2005,64,46.107998
01may2005,64,46.107998
01jun2005,64,46.107998
01jul2005,64,46.107998
01aug2005,64,46.107998
01sep2005,61,46.107998
01oct2005,62,46.107998
01nov2005,62,46.107998
01dec2005,62,46.107998
01jan2006,62,46.091
01feb2006,63,46.091
01mar2006,63,46.091
01apr2006,63,46.091
01may2006,63,46.091
01jun2006,63,46.091
01jul2006,63,46.091
01aug2006,63,46.091
01sep2006,63,46.091
01oct2006,63,46.091
01nov2006,63,46.091
01dec2006,63,46.091
01jan2007,63,46.077
01feb2007,63,46.077
01mar2007,63,46.077
01apr2007,63,46.077
01may2007,63,46.077
01jun2007,63,46.077
01jul2007,65,46.077
01aug2007,65,46.077
01sep2007,65,46.077
01oct2007,65,46.077
01nov2007,65,46.077
01dec2007,68,47.056999
01jan2008,68,47.057999
01feb2008,68,47.057999
01mar2008,68,47.057999
01apr2008,68,47.057999
01may2008,71,47.714001
01jun2008,72,52.729
01jul2008,72,52.729
01aug2008,72,52.729
01sep2008,78,56.474998
01oct2008,85,59.776001
01nov2008,87,60.713001
01dec2008,89,60.713001
01jan2009,90,61.532001
01feb2009,92,61.566002
01mar2009,93,61.723999
01apr2009,94,62.505001
01may2009,94,62.505001
01jun2009,93,62.505001
01jul2009,93,62.505001
01aug2009,93,62.505001
01sep2009,93,62.505001
01oct2009,93,62.505001
01nov2009,93,62.505001
01dec2009,93,62.505001
01jan2010,90,62.93
01feb2010,87,62.93
01mar2010,105,55.421997
01apr2010,105,55.421997
01may2010,108,57.547001
01jun2010,109,57.561001
01jul2010,109,57.561001
01aug2010,109,57.561001
01sep2010,109,57.561001
01oct2010,109,57.561001
01nov2010,109,57.561001
01dec2010,110,57.561001
01jan2011,108,57.805
01feb2011,108,57.805
01mar2011,108,57.805
01apr2011,110,57.984001
01may2011,111,58.009998
01jun2011,112,58.368999
01jul2011,111,52.502998
01aug2011,111,52.502998
01sep2011,111,52.502998
01oct2011,111,52.502998
01nov2011,121,54.846001
01dec2011,122,54.846001
01jan2012,122,55.933998
01feb2012,123,55.933998
01mar2012,124,56.909
01apr2012,123,56.738998
01may2012,122,55.925999
01jun2012,123,56.348
01jul2012,123,56.348
01aug2012,123,56.348
01sep2012,123,56.348
01oct2012,123,56.348
01nov2012,130,63.362999
01dec2012,131,63.362999
01jan2013,131,63.677002
01feb2013,131,63.677002
01mar2013,132,66.639
01apr2013,132,66.639
01may2013,131,66.625
01jun2013,132,66.625
01jul2013,132,66.625
01aug2013,132,66.625
01sep2013,135,66.667999
01oct2013,137,66.667999
01nov2013,137,66.667999
01dec2013,137,66.667999
01jan2014,137,67.028999
01feb2014,138,67.028999
01mar2014,138,67.028999
01apr2014,138,67.028999
01may2014,137,66.847
01jun2014,145,70.922997
01jul2014,146,71.297997
01aug2014,147,71.328003
01sep2014,148,71.328003
01oct2014,148,71.328003
01nov2014,150,71.616997
01dec2014,150,72.006996
01jan2015,150,72.438004
01feb2015,149,72.438004
01mar2015,150,70.667
01apr2015,150,70.667
01may2015,152,71.181999
01jun2015,152,71.181999
01jul2015,151,71.181999
01aug2015,151,71.181999
01sep2015,153,71.205002
01oct2015,154,71.205002
01nov2015,155,73.011002
01dec2015,157,73.011002
01jan2016,156,72.911003
01feb2016,156,72.911003
01mar2016,157,72.911003
01apr2016,156,72.911003
01may2016,157,73.147003
01jun2016,158,73.243004
01jul2016,158,73.243004
01aug2016,158,73.243004
01sep2016,158,73.243004
01oct2016,157,73.212997
01nov2016,155,73.197998
01dec2016,157,74.174004
01jan2017,157,74.181999
01feb2017,157,74.181999
01mar2017,157,74.181999
01apr2017,157,74.181999
01may2017,157,74.181999
01jun2017,157,74.181999
01jul2017,157,74.181999
01aug2017,157,74.181999
01sep2017,157,74.181999
01oct2017,156,74.181999
01nov2017,157,74.181999
01dec2017,157,74.181999
01jan2018,155,74.190002
01feb2018,156,74.190002
01mar2018,156,74.190002
01apr2018,156,74.977997
01may2018,158,75.346001
01jun2018,157,74.934998
01jul2018,157,74.934998
01aug2018,158,74.934998
01sep2018,158,74.934998
01oct2018,157,74.910004
01nov2018,157,74.910004
01dec2018,158,75.320999
01jan2019,157,75.601997
01feb2019,159,75.610001
01mar2019,159,75.610001
01apr2019,160,75.610001
01may2019,161,75.610001
01jun2019,160,75.377998
01jul2019,159,75.279999
01aug2019,159,75.279999
01sep2019,159,75.279999
01oct2019,158,75.279999
01nov2019,158,75.279999
01dec2019,160,75.343002
01jan2020,159,74.846001
01feb2020,160,75.865997
01mar2020,168,76.133003
01apr2020,173,76.887001
01may2020,174,77.021004
01jun2020,176,77.466003
01jul2020,178,77.566002
01aug2020,181,77.592003
01sep2020,181,77.592003
01oct2020,182,77.607002
01nov2020,184,77.607002
01dec2020,182,77.607002
01jan2021,183,77.606003
01feb2021,183,77.606003
01mar2021,185,77.606003
01apr2021,184,77.606003
01may2021,182,76.823997
01jun2021,179,77.100998
01jul2021,180,77.100998
01aug2021,182,77.100998
01sep2021,181,77.100998
01oct2021,181,77.100998
01nov2021,181,77.100998
01dec2021,181,77.100998
01jan2022,173,76.731003
01feb2022,175,76.731003
01mar2022,175,77.726997
01apr2022,173,77.533005
01may2022,173,77.533005
01jun2022,173,77.533005
01jul2022,174,77.536003
01aug2022,174,77.536003
01sep2022,174,77.536003
01oct2022,174,77.536003
01nov2022,174,77.536003
01dec2022,175,77.536003
01jan2023,175,77.867996
01feb2023,174,77.843002
01mar2023,174,77.843002
01apr2023,174,77.843002
01may2023,174,77.843002
01jun2023,174,77.843002
01jul2023,174,77.843002
01aug2023,173,77.843002
01sep2023,173,77.843002
01oct2023,173,77.843002
01nov2023,174,79.112999
01dec2023,174,79.112999
